iter	Passed	Remaining
0	170	25449
1	259	19197
2	358	17581
3	452	16530
4	546	15856
5	633	15196
6	724	14796
7	809	14366
8	906	14209
9	1011	14154
10	1108	14010
11	1202	13824
12	1288	13576
13	1373	13337
14	1462	13163
15	1547	12956
16	1639	12825
17	1734	12716
18	1820	12548
19	1904	12378
20	1986	12203
21	2076	12084
22	2159	11925
23	2243	11776
24	2325	11625
25	2412	11505
26	2498	11384
27	2580	11242
28	2669	11136
29	2753	11013
30	2840	10902
31	2925	10787
32	3011	10678
33	3100	10578
34	3188	10475
35	3270	10357
36	3354	10244
37	3438	10135
38	3527	10038
39	3610	9928
40	3697	9830
41	3788	9740
42	3873	9637
43	3966	9554
44	4055	9462
45	4142	9364
46	4232	9276
47	4321	9183
48	4406	9083
49	4493	8986
50	4574	8880
51	4661	8784
52	4747	8688
53	4832	8591
54	4922	8502
55	5007	8405
56	5092	8308
57	5175	8209
58	5255	8105
59	5335	8003
60	5417	7904
61	5500	7807
62	5583	7709
63	5663	7609
64	5746	7514
65	5828	7417
66	5915	7328
67	6002	7238
68	6086	7145
69	6174	7056
70	6264	6970
71	6350	6879
72	6434	6786
73	6521	6698
74	6615	6615
75	6703	6527
76	6790	6437
77	6877	6348
78	6966	6261
79	7053	6172
80	7143	6085
81	7229	5995
82	7318	5907
83	7408	5820
84	7494	5731
85	7581	5641
86	7669	5553
87	7762	5469
88	7846	5377
89	7934	5289
90	8028	5205
91	8117	5117
92	8210	5032
93	8302	4946
94	8395	4860
95	8486	4773
96	8579	4687
97	8675	4603
98	8772	4519
99	8866	4433
100	8956	4345
101	9048	4258
102	9146	4173
103	9240	4086
104	9331	3999
105	9447	3921
106	9541	3834
107	9637	3747
108	9728	3659
109	9828	3573
110	9922	3486
111	10016	3398
112	10110	3310
113	10213	3225
114	10309	3137
115	10397	3047
116	10486	2957
117	10574	2867
118	10664	2778
119	10751	2687
120	10843	2598
121	10930	2508
122	11021	2419
123	11112	2329
124	11204	2240
125	11299	2152
126	11385	2062
127	11472	1971
128	11559	1881
129	11645	1791
130	11732	1701
131	11818	1611
132	11903	1521
133	11994	1432
134	12095	1343
135	12208	1256
136	12310	1168
137	12405	1078
138	12508	989
139	12621	901
140	12712	811
141	12800	721
142	12891	631
143	12984	541
144	13089	451
145	13200	361
146	13305	271
147	13396	181
148	13484	90
149	13586	0
